id,source_id,source_name,title,content,published_at
140,abc-news,ABC News,WATCH: Floodwaters in Bahamas still too dangerous for responders,<li>Now Playing: Trump criticized for golfing as Hurricane Dorian approaches US   </li><li>Now Playing: Inside FEMA headquarters as US feels Hurricane Dorian's effects   </li><li>Now Playing: Floodwaters in Bahamas still too dangerous for responders  </li><li… [+1334 chars],2019-09-03T17:17:50Z
144,abc-news,ABC News,Suspect fatally shot by police in Kaukauna,Wisconsin police say an officer fatally shot a suspect after a pursuit ended with a crash in Kaukauna.  Fox Valley Metro Police say the chase ended early Tuesday when the suspect crashed near county Highway OO and state Highway 55. Authorities say the suspect… [+216 chars],2019-09-03T17:46:39Z
148,cnn,CNN,A 14-year-old confessed to killing all five of his family members in an Alabama home  authorities say,,2019-09-03T08:38:03Z
152,bbc-news,BBC News,Her Story Made History: Michelle Bachelet,Michelle Bachelet's father died after being detained and tortured during the first year of General Pinochet's dictatorial rule in Chile. More than 40 years later  Michelle became Chile's first female president. Lyse Doucet hears the story of her remarkable li… [+2 chars],2019-09-03T13:15:00Z
156,the-irish-times,The Irish Times,Arsenal defence makes balance hard to come by,It is not the sort of admission with which a member of the goalkeepers union ought to be comfortable. In the throes of a discussion about Arsenals identity  Bernd Leno was asked whether his team were the sort who backed themselves to outscore all comers. Yes … [+5106 chars],2019-09-03T10:37:37Z
160,the-irish-times,The Irish Times,Mary Robinson reminds global investors of their climate duty,Former president of IrelandMary Robinson told a group of international investors managing over 5 trillion of assets that they have a duty to put climate action at the heart of their investment strategies to limit global warming.   We all have a responsibility… [+1553 chars],2019-09-03T16:45:39Z
164,the-new-york-times,The New York Times,Life Is Imitating Stephen King’s Art  and That Scares Him,They had happy endings. They had optimistic viewpoints about humanity  both individual people and groups of people  even when there were jerks in the mix  Vincent says. Is he mellowing with his viewpoint of the world  or in the earlier books might that have a… [+1866 chars],2019-09-03T09:00:13Z
168,business-insider,Business Insider,Boeing shares slide as the latest 737 Max delay threatens holiday-season travel (BA),Boeing stock fell as much as 4% on Monday trading after United Airlines and American Airlines announced an extended cancellation of 737 Max flights until December.    United said Friday it would delay of 737 Max flights until December 19 as it waits for the m… [+2397 chars],2019-09-03T14:35:29Z
172,cnn,CNN,Your boss hates you. What do you do?,,2019-09-03T16:15:09Z
176,the-irish-times,The Irish Times,Terry Gilliam: I disagree with John Cleese on Brexit,Terry Gilliam has said he disagrees with the way his friend and fellow Monty Python member John Cleese sees the world  following comments from the latter endorsing Brexit and criticising the diversity of London.  The animator and Hollywood director despairs o… [+1651 chars],2019-09-03T09:29:41Z
180,cnn,CNN,Dorian won't make landfall in Florida  but the east coast is still under threat,(CNN)Hurricane Dorian will move  dangerously close  to Florida overnight Tuesday  but the Category 3 storm is not currently expected to make landfall in the US over the next few days.  Still  a wobble here or a strong outer band there could bring its path of … [+4363 chars],2019-09-03T14:43:24Z
184,the-irish-times,The Irish Times,Johnson approved prorogation in August  Edinburgh court told,Boris Johnson  the UK prime minister  signed off on a plan to suspend the UK parliament two weeks before it was announced  dismissing the September gathering of the House of Commons as a rigmarole  a Scottish court heard on Tuesday.  The details of when the U… [+3331 chars],2019-09-03T18:11:58Z
188,cbs-news,CBS News,California boat fire death toll jumps and several still missing,Santa Barbara  Calif. -- A middle-of-the-night fire swept a boat carrying recreational scuba divers anchored near an island off the Southern California coast early Monday  leaving at least 25 dead and nine others missing.  Five of six crew members on the Conc… [+7145 chars],2019-09-03T06:00:05Z
192,business-insider,Business Insider,How to turn a PS4 on or off  or put it into Rest Mode  using the controller or system,There are multiple ways to turn a PlayStation 4 console on or off  and there are even different power settings you can use  depending on how long you think you'll be away from your games.    Using Rest Mode keeps the system ready to quickly come back online  … [+1704 chars],2019-09-03T14:42:00Z
196,abc-news,ABC News,Celebrity birthdays for the week of Sept. 8-14,Celebrity birthdays for the week of Sept. 8-14:  Sept. 8: Ventriloquist Willie Tyler (with Lester) is 79. Actor Alan Feinstein is 78. Singer Sal Valentino of The Beau Brummels is 77. Actress Heather Thomas ( The Fall Guy ) is 62. Singer Aimee Mann is 59. Bass… [+7426 chars],2019-09-03T13:34:45Z
200,abc-news,ABC News,Sheryl Crow feels 'liberated' by saying goodbye to the album,Sheryl Crow has a lifetime of stories of hanging out with rock stars  pop stars  athletes  icons and music royalty  some even featured on her new collaborative record  but don't expect her to start revealing any secrets in an autobiography.   I mean  there ar… [+4022 chars],2019-09-03T15:27:46Z
204,the-wall-street-journal,The Wall Street Journal,In a School District Where Technology Rules  Grades Fall. Parents Ask Why.,When Baltimore County  Md.  public schools began going digital five years ago  textbooks disappeared from classrooms and paper and pencils were no longer encouraged. All students from kindergarten to 12th grade would eventually get a laptop  helping the distr… [+271 chars],2019-09-03T15:15:00Z
208,cnn,CNN,Fashion weeks are about to start: Here's what we expect to see during a month of shows,fashionPublished 3rd September 2019  There's a specter hovering over London Fashion Week: When the first show opens next Friday  the UK will be less than seven weeks away from its scheduled departure from the European Union. It's difficult to imagine Brexit n… [+8143 chars],2019-09-03T12:39:29Z
212,cnn,CNN,South African president calls for arrest of those involved in xenophobic attacks,,2019-09-03T15:41:27Z
216,the-irish-times,The Irish Times,Podcast: The Tory rebels take on Boris Johnson,World View is a weekly foreign affairs podcast from The Irish Times. Listen on Apple Podcasts  on Spotify  on Stitcher or on Soundcloud.  The House of Commons is set for a showdown as rebel Conservative Party MPs seek to introduce legislation on Tuesday  bloc… [+732 chars],2019-09-03T15:17:56Z
220,the-irish-times,The Irish Times,US teenager kills five family members in Alabama shooting,A 14-year-old American boy shot and killed five family members at their home in Alabama  before throwing away the pistol and calling police  officials said on Tuesday  in the latest high-profile gun crime.  The shooting occurred on Monday night in the town of… [+983 chars],2019-09-03T12:17:47Z
224,reuters,Reuters,Pantomime villain Medvedev fueled by New York hate,NEW YORK (Reuters) - Daniil Medvedev never sought to be the pantomime villain at this year’s U.S. Open but after being lustily booed by the New York crowd for his on-court antics during his last two wins  he is learning to use the energy to his advantage.    … [+3135 chars],2019-09-03T17:32:12Z
228,cbs-news,CBS News,Dierks Bentley: Ticketed for fishing in Colorado without a license,,2019-09-03T01:53:44Z
232,the-new-york-times,The New York Times,You Haven’t Heard From These Chefs for a While. But You Will.,It has been only three months since the Four Seasons restaurant closed  but Bill Yosses  67  who was its high-profile pastry chef (and held that position at the White House when the Obamas lived there)  will open Palais by Perfect Pie with John Wu and other p… [+863 chars],2019-09-03T16:29:09Z
236,al-jazeera-english,Al Jazeera English,Palestinian Harvard student denied entry to US finally arrives,,2019-09-03T16:09:54Z
240,al-jazeera-english,Al Jazeera English,Palestinian PM vows to release probe result over woman's death,Palestinian Prime Minister Mohammad Shtayyeh says a number of people have been called in for questioning over the death of a 21-year-old woman under suspicious circumstances  in a case that sparked widespread anger in the occupied West Bank.  Though the exact… [+3448 chars],2019-09-03T11:20:46Z
244,newsweek,Newsweek,Bayley Turns Heel on Becky Lynch at Monday Night RAW,In one of the most surprising WWE moments of the year  SmackDown Women's Champion Bayley turned heel in the main event of Monday Night RAW.  Bayley was teaming up with RAW Women's Champion Becky Lynch to take on the Women's Tag Team Champions  Nikki Cross and… [+2233 chars],2019-09-03T03:33:22Z
248,the-irish-times,The Irish Times,Tory rebels vow to defy Johnson’s ‘threats’ on Brexit vote,Former British education secretary and pro-second referendum Conservative MP Justine Greening has confirmed that she will stand down at the next election.  The Putney MP told the Radio 4 BBC Today programme: It has been on my mind for some time  this is not a… [+1982 chars],2019-09-03T08:12:37Z
252,the-irish-times,The Irish Times,Louise Kennedy AW2019: Long coats  sparkling tweed dresses and emerald knits,Louise Kennedy is showing off her autumn-winter collection in Dublin tonight and the show will start with her glittering new take on Black Watch tartan.  Sixteen models will present more than 60 ensembles to over 200 guests  including the designers close frie… [+145 chars],2019-09-03T14:40:00Z
256,business-insider,Business Insider,How to buy a house with bad credit,Buying a house with bad credit is possible  but it will likely end up costing you extra money in the long run.    Unlike traditional mortgages  which require a good credit score to qualify  loans that are available to those with lower credit scores typically … [+4407 chars],2019-09-03T17:18:00Z
260,al-jazeera-english,Al Jazeera English,All eyes on parliament as UK faces pivotal day on Brexit,The United Kingdom's Parliament is set for a heated showdown  with Prime Minister Boris Johnson facing a rebellion by members of his own party and the chance of a snap election to resolve a three-year deadlock over Brexit appearing to increase.  As MPs return… [+3956 chars],2019-09-03T10:47:13Z
264,al-jazeera-english,Al Jazeera English,Discontent swells in Zimbabwe amid crackdown  economic woes,Harare  Zimbabwe -Emmerson Mnangagwa wanted a clean break from his predecessor's past.  Whereas Robert Mugabe  who ruled Zimbabwe for 37 years  would contravene the West diplomatically  President Mnangagwa wanted to engage. And contrary to Mugabe's strategy o… [+5773 chars],2019-09-03T09:46:24Z
268,cbs-news,CBS News,Joe Manchin to announce his political future on Tuesday morning,Senator Joe Manchin III  Democrat of West Virginia  one of the few bipartisan power brokers left in the sharply divided U.S. Senate  is set to announce Tuesday morning whether or not he plans to run again for his old job of West Virginia governor.  CBS News h… [+2319 chars],2019-09-03T03:13:47Z
272,the-new-york-times,The New York Times,What We Know About the Catastrophic California Boat Fire,Heres his dispatch from the front lines of the fight:  As soon as you let me know  said Tyler Sandness  a driver and organizer with the group Rideshare Drivers United  Ill get you on the yes list.  It was late Wednesday morning  and Mr. Sandness was urging fe… [+1390 chars],2019-09-03T13:04:04Z
276,newsweek,Newsweek,Donald Trump 'Injected a Poison' Into Politics  MSNBC Guest Says: 'How Long Will It Take to Undo the Damage?',The commentator Mike Barnicle said President Donald Trump has  injected a poison  into America's political system by using the White House to attack the free media and the concept of objective truth.  Barnicle  a veteran columnist  was taking part in a panel … [+2868 chars],2019-09-03T14:21:18Z
280,business-insider,Business Insider,I spent 5 years analyzing how rich people get rich  and found there are generally 4 paths to wealth,The top 5% of households in America reported $197 651 or more in income in 2016  according to the Tax Foundation. This same top 5% controlled 60% of the nation's wealth  according to the Federal Reserve Survey of Consumer Finance.    This 5% run big companies… [+4420 chars],2019-09-03T15:44:03Z
284,al-jazeera-english,Al Jazeera English,Hong Kong's Carrie Lam denies trying to resign,Hong Kong's embattled leader Carrie Lam has dismissed a leaked audio recording of her saying she would resign if she had a choice.  Her comments were recorded during a private lunch last week and come after three months of anti-government protests.  Al Jazeer… [+21 chars],2019-09-03T10:31:38Z
288,the-wall-street-journal,The Wall Street Journal,Phones Buzz in Class—With Texts From Mom and Dad,Cellphone usage in class is getting so out of control that some schools are locking up students phones during the day. Heres a notification for you parents: Youre partly to blame.  Students  teachers and administrators say parents light up their kids phones t… [+146 chars],2019-09-03T09:30:00Z
292,bbc-news,BBC News,Christian Dior exhibition breaks V&A attendance record,Image copyrightPA MediaImage caption   Designer of Dreams featured more than 200 rare haute couture garments  An exhibition dedicated to fashion house Christian Dior has broken the V&amp;A's attendance record  attracting almost 595 000 people in seven months.… [+1064 chars],2019-09-03T16:07:07Z
296,reuters,Reuters,Walmart to stop selling ammunition for handguns  assault-style weapons,(Reuters) - Walmart Inc said on Tuesday it would discontinue sales of ammunition for handguns and some assault-style rifles in stores across the United States  in response to the recent mass shootings in Texas and Ohio.   The largest U.S. arms retailer  which… [+1985 chars],2019-09-03T18:10:12Z
300,newsweek,Newsweek,Mitch McConnell Says He'd Follow Trump on Gun Control Legislation: 'I'd Be Happy to Put it on The Floor',The ball is in President Donald Trump's court when it comes to acting on gun control legislation in the wake of several mass shootings and amidst Congress' summer recess  according to Senate Majority Leader Mitch McConnell.   I said several weeks ago that if … [+2754 chars],2019-09-03T16:18:51Z
304,the-new-york-times,The New York Times,The Gospel According to Marianne Williamson,A block down the road from where the debate was being held was the Fillmore Detroit theater  where a portion of Williamsons robust following from her days in the city gathered to watch the debate. A woman glumly ate blueberries out of a large Ziploc bag as th… [+4894 chars],2019-09-03T16:19:08Z
308,bbc-news,BBC News,Alex Malcolm inquest: Probation staff 'overstretched' when boy killed,Image copyrightMet PoliceImage caption   Alex Malcolm suffered head and stomach injuries in the attack  Probation staff were overstretched when a violent convict murdered his partner's child  an inquest has heard.  Alex Malcolm  five  was killed by Marvyn Ihe… [+1748 chars],2019-09-03T14:33:09Z
312,the-wall-street-journal,The Wall Street Journal,Walmart to Stop Selling Ammunition for Assault-Style Weapons,Walmart Inc. said it will stop selling ammunition for assault-style rifles and handguns  further restricting the retailers gun-related sales and policies after two deadly shootings in Walmart stores last month.  Ammunition that can be used in high-capacity cl… [+250 chars],2019-09-03T17:04:00Z
316,cnn,CNN,New Chinese 'deepfake' face app backpedals after privacy backlash,,2019-09-03T09:23:25Z
320,al-jazeera-english,Al Jazeera English,UK: Suicide rates surge 11.8% in a single year,Suicide rates in the United Kingdom jumped nearly 12 percent in 2018  the first rise since 2013 with a significant increase among men.  A total of 6 507 suicides were registered in the UK last year  the Office for National Statistics (ONS) said  up from 5 821… [+3323 chars],2019-09-03T15:45:37Z
324,reuters,Reuters,'The Painted Bird' tells 'timeless' story of survival in dark times,VENICE  Italy  (Reuters) - Set somewhere in rural eastern Europe towards the end of World War Two  “The Painted Bird” is a sombre tale of a young boy trying to survive a harsh wilderness and the cruelty of strangers  and is described by one of its stars as “t… [+3066 chars],2019-09-03T16:36:17Z
328,bbc-news,BBC News,Smart motorway deaths: Jason Mercer's widow wants system stopped,Image caption   Clare Mercer said she plans to sue Highways England for corporate manslaughter over her husband's death  The widow of a man killed on a  smart motorway  said she is suing Highways England for corporate manslaughter.  Jason Mercer  44  died on … [+2764 chars],2019-09-03T14:58:30Z
332,reuters,Reuters,Winston Churchill's grandson to vote against PM Johnson  risking expulsion from party,LONDON (Reuters) - Nicholas Soames  the grandson of Britain’s World War Two leader Winston Churchill  said he would vote against Prime Minister Boris Johnson on Brexit on Tuesday  a step that enforcers have warned would lead to expulsion from the Conservative… [+727 chars],2019-09-03T17:51:27Z
336,the-irish-times,The Irish Times,Brexit a drag on Germany’s export-dependent manufacturers,Germanys export-dependent economy is suffering from a Brexit shock that along with the rise in global trade tensions and structural changes in the car industry  threatens to push Europes economic powerhouse into recession.  In the three months to June  export… [+5035 chars],2019-09-03T11:21:05Z
340,newsweek,Newsweek,It's Not Just Sugary Drinks That Are Bad for You—Artificially Sweetened Ones Also Appear to Increase the Risk of Death,Both sugary and diet soft drinks have been linked to an increased risk of death in a huge study.  The research  published in the journalJAMA Internal Medicine  involved 451 743 people from 10 European countries: Denmark  France  Germany  Greece  Italy  the Ne… [+3317 chars],2019-09-03T15:00:01Z
344,al-jazeera-english,Al Jazeera English,Erdogan's party seeks expulsion of former PM Ahmet Davutoglu,Turkish President Recep Tayyip Erdogan's ruling party has unanimously agreed to send former former Prime Minister Ahmet Davutoglu to a disciplinary board for dismissal.  The decision on Monday to consider expelling the 60-year-old  along with three other memb… [+2112 chars],2019-09-03T07:41:48Z
348,cnn,CNN,Donald Trump isn't up to the job,Jill Filipovic is a journalist based in Washington and author of the book  The H-Spot: The Feminist Pursuit of Happiness.  Follow her on Twitter. The opinions expressed in this commentary are solely her own. View more opinion articles on CNN. This piece has b… [+3966 chars],2019-09-03T18:10:00Z
352,the-irish-times,The Irish Times,Ross telling retailers to inform e-scooter buyers of law is ‘nanny state gone mad’,Retailers have described as nanny-state gone mad a statement by Minister for Transport Shane Ross saying they are obliged to tell customers buying e-scooters that these vehicles are illegal on public roads.   The devices have been growing in popularity and wh… [+2313 chars],2019-09-03T12:40:25Z
356,newsweek,Newsweek,Scientists Found 125 Cases of Extreme Inbreeding in the U.K.'s Biobank—and Studied the Associated Health Impacts,Researchers have identified 125 cases of extreme inbreeding in the U.K. Biobanka huge genetic study including data from half a million peopleallowing them to look at the health impacts of incest.  The team defined extreme inbreeding as the result of offspring… [+2833 chars],2019-09-03T15:01:01Z
360,newsweek,Newsweek,'Fortnite' Content Update 10.20 Adds Zapper Trap & Floating Island - Patch Notes,Fortnite Content Update 10.20 is officially live  bringing the Zapper Trap and Floating Island back to Battle Royale. Get the full details on the new Item by reading the patch notes below. As usual  the information arrives courtesy of an Epic Games blog post.… [+4184 chars],2019-09-03T11:43:17Z
364,newsweek,Newsweek,CNN's Anderson Cooper Says Trump Is Too Busy Golfing and Tweeting Critics to Follow Hurricane Dorian: 'He's Monitoring the Debra Messing Situation',CNN host Anderson Cooper has criticized President Donald Trump for a lack of leadership while Hurricane Dorian bears down on the east coast  suggesting the commander in chief is more worried about personal spats than the storm that has prompted evacuation ord… [+3222 chars],2019-09-03T08:21:52Z
368,cnn,CNN,Ahead of Hurricane Dorian  a Florida Humane Society found homes for 250 animals in one week,,2019-09-03T16:53:13Z
372,reuters,Reuters,Trial of actor Cuba Gooding Jr in groping case gets October date,NEW YORK (Reuters) - Judge Herbert Moses of the Manhattan Supreme Court set an Oct. 10 trial date on Tuesday for the actor Cuba Gooding Jr.  who was charged with groping a woman at a Manhattan bar in June.   Gooding  dressed in a gray suit and tie  appeared c… [+1400 chars],2019-09-03T15:36:28Z
376,the-irish-times,The Irish Times,Head of Franciscan order awarded honorary doctorate by UCD,A Franciscan brother has been awarded an honorary doctorate in science by UCD for his work in agriculture  Ireland and East Africa  particularly in sustainable agriculture.  Br Tony Dolan is minister general of the Franciscan Brothers  whose motherhouse is in… [+1910 chars],2019-09-03T15:26:41Z
380,cnn,CNN,Here's the real problem with Trump golfing while Dorian churned,THE POINT -- NOW ON YOUTUBE!   In each episode of his weekly YouTube show  Chris Cillizza will delve a little deeper into the surreal world of politics. Click to subscribe!,2019-09-03T15:17:36Z
384,business-insider,Business Insider,Video: Chaos erupted at Newark Airport after a flight attendant shouted for people to evacuate,Chaos erupted at Newark Liberty International Airport on Monday night as rumors of an active shooter situation broke out at the airport.    Passengers waiting for their flights fled through any exit they could  dropping their carry-on luggage and bags as they… [+2569 chars],2019-09-03T17:45:57Z
