Name,ID,Published_from,Published_to,Avg_content_length
I went from being a nanny and cocktail server to a multi-millionaire business owner. Here are my 3 tips for achieving your dreams.,business-insider,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
The Challenge of Identifying Sjogren’s Syndrome,the-new-york-times,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,274.0
Group: We warned Germany of Russia threats to slain Georgian,abc-news,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,273.0
'Jojo Rabbit' wins Toronto film festival's Oscar-bellwether award,reuters,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,274.0
Family calls for 'moving body' law change after Ellon death,bbc-news,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Surviving migrant shelters  US detention with a mental illness,al-jazeera-english,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Brexit: leaked proposals on Irish Border out-of-date  says Johnson,the-irish-times,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,274.0
Chase's Ink Business Unlimited is perfect if you're a small-business owner who wants to earn both cash back and travel rewards  and it has no annual fee,business-insider,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
WTA roundup: Pliskova rolls to tour-best fourth title,reuters,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,274.0
Russia complains about Facebook and Google election ads,bbc-news,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,274.0
Hadestown's André De Shields Talks Dragging Broadway 'Kicking and Screaming' Toward Diversity,newsweek,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Influential documentary photographer Robert Frank is dead at 94,cnn,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Senate approves Trump nominee Bowman for Federal Reserve,abc-news,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,273.0
Parents Paid to Open College Doors. Now They’re Spending to Limit Prison Time.,the-new-york-times,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,274.0
College Football 2019: Where to Watch Northwestern State vs. LSU  TV Channel  Live Stream and Odds,newsweek,2019-09-14T00:00:00Z,2019-09-14T00:00:00Z,274.0
Brazil ministry says food inspections overhauled after corruption probe,reuters,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,273.0
More tropical storms are brewing on both sides of the US,cnn,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,0.0
Nintendo wants to make exercise fun again with this successor to Wii Fit on the Switch - Business Insider,business-insider,2019-09-14T00:00:00Z,2019-09-14T00:00:00Z,274.0
Bridge collapse in Taiwan sends oil tanker tumbling onto boats,cbs-news,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,274.0
HS2 buys £1.25bn of property in London,bbc-news,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
Johnson knows there is more ground to give,the-irish-times,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,273.0
Malcolm Gladwell’s Advice When ‘Talking to Strangers’: Be Careful,the-new-york-times,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Virginia removes requirement to declare race on marriage forms,bbc-news,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,274.0
Orlando Bloom on how his new show  Carnival Row  comments on the refugee crisis,cbs-news,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,0.0
UN atomic wachdog confirms Iran installing new centrifuges,abc-news,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,273.0
Thousands without power in Georgia due to Hurricane Dorian,cbs-news,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,0.0
North Korean footballer Han joins Italian giants Juventus,al-jazeera-english,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,274.0
Meet the camels  Beluga spy whales  and other animals who serve in militaries around the world,business-insider,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,274.0
Amazon sells dozens of tiny homes you can build yourself to save thousands — take a look (AMZN),business-insider,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,273.0
Manafort's lawyers: State charges are double jeopardy,abc-news,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,273.0
New & Noteworthy  From Abraham Lincoln to Dogs and Their People,the-new-york-times,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,273.0
‘Jinn’ Review: A Not So Typical Coming-of-Age Story,the-new-york-times,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Seth Rich's family can pursue a lawsuit against Fox News for allegedly spreading conspiracies about DNC staffer's death  after a court ruling,business-insider,2019-09-14T00:00:00Z,2019-09-14T00:00:00Z,274.0
Niche home-sharing sites roll out welcome mat for minorities,abc-news,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,273.0
Hong Kong Protesters Planning 'Massive Terror Attack' to Coincide with 9/11 Anniversary  Chinese State Media Claims,newsweek,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Russia and Ukraine move on long-awaited prisoners swap,the-irish-times,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,273.0
The Wall by John Lanchester is this week’s Irish Times Eason offer,the-irish-times,2019-09-12T00:00:00Z,2019-09-19T00:00:00Z,274.0
In Praise of Lucille Clifton,the-new-york-times,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,274.0
Rwanda agrees deal to take in hundreds of African migrants,bbc-news,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Texas Hit by ‘Catastrophic Flooding’ From Imelda; Hundreds in Need of Rescue,the-new-york-times,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,273.0
Trump threatens to use EPA to tackle San Francisco's homeless problem,cbs-news,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
A Tale of Five Women,the-new-york-times,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,274.0
British MPs prepare legal action to force Johnson to obey,the-new-york-times,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,274.0
What to Know as N.Y.C. Goes Back to School,the-new-york-times,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,273.0
Beyond Meat gets rare  buy  rating from analyst despite 500% post-IPO rally (BYND),business-insider,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
Iran accused of new breach of nuclear deal; releases tanker,cbs-news,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
I've paid more rent living in California than ever before  but I'm not sorry I moved here,business-insider,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,274.0
How to find yield in a low-rate world,cnn,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,274.0
No-deal Brexit a 'catastrophe' for travelers,cnn,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,275.0
Mario Kart Tour is Nintendo's most popular mobile game launch ever  with 20 million downloads so far. Here's what it's like to play.,business-insider,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
These are the Republicans who are against Trump and for impeachment,cnn,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,0.0
‘There’s a lot of Aisling in us as well  so we can’t afford to slag her off’,the-irish-times,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
Phil Hogan profile: Irish enforcer known as Big Phil becomes Brussels big player,the-irish-times,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Stephon Clark's two young sons to get $2.4 million from Sacramento,cbs-news,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,274.0
I walked through Moscow's 'Golden Mile ' one of the city's most expensive neighborhoods  and got a glimpse of what most photos don't show you: It's a mix of the old  the new  and the abandoned,business-insider,2019-09-14T00:00:00Z,2019-09-14T00:00:00Z,273.0
2019/09/27 17:00 GMT,bbc-news,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,60.0
Big Fashion Books of Fall,the-new-york-times,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,273.0
2019/10/02 15:00 GMT,bbc-news,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,60.0
2019/09/05 12:00 GMT,bbc-news,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,60.0
Kylie Jenner and Travis Scott featured in Playboy,cnn,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,0.0
Factbox: Apple launches streaming service at $4.99/month,reuters,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,273.0
I'm a millennial and I don't hate the VSCO girl — she's just the first new trend that makes me feel old,business-insider,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Mexico: US envoy's dig at Frida Kahlo causes social media debate,al-jazeera-english,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,274.0
Romania's centrists want to topple government in no-confidence vote,reuters,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,274.0
Big Tech's antitrust reckoning has arrived - CNN,cnn,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,0.0
Trout to have surgery for nerve issue in foot,espn,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,273.0
Everlane’s $50 work pants compete with pairs that are 4 times the price — here's how they've held up to a year of wear,business-insider,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,274.0
CVS Health stock rises as judge completes Aetna deal review,abc-news,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,273.0
'Lawyer up': DOJ veterans have one piece of advice for Trump and Giuliani amid the Ukraine whistleblower scandal,business-insider,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,275.0
Chicago boy  1  stable after falling from 4th-story window,abc-news,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,273.0
Fitch slashes Hong Kong's credit rating as months of protests have inflicted 'long-lasting damage' on its financial system,business-insider,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,274.0
US  China exchange goodwill gesture ahead of trade talks,abc-news,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,274.0
Mexico declares success in slowing migrant flow,abc-news,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,273.0
The Rebirth of New York Fashion,the-new-york-times,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,273.0
It’s a Dirty Job  but Someone Has to Do It and Not Get Eaten,the-new-york-times,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
Honor and Dishonor,cbs-news,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,0.0
The Latest: Attorneys: Dallas jury questions castle doctrine,abc-news,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,274.0
DOJ vets: Ukraine whistleblower puts Trump  Giuliani in legal jeopardy,business-insider,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,275.0
Moms are furious that Instagram's algorithm keeps deleting topless photos of their long-haired sons (FB),business-insider,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
Hezbollah and Israel: A timeline of cross-border attacks,al-jazeera-english,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,274.0
9/30: CBS Evening News,cbs-news,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,0.0
Vincent Kompany: Anderlecht appoint former manager Frank Vercauteren as head coach,bbc-news,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,274.0
U.S. Democrat Omar hopes Israelis oust PM Netanyahu in elections,reuters,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,273.0
Reigning Mr Ireland convicted of assaulting taxi driver in Galway,the-irish-times,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,274.0
Democratic donor Ed Buck indicted for allegedly providing lethal doses of meth,cnn,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,274.0
WATCH: Dorian hits Outer Banks with 100 mph winds  14 inches of rain,abc-news,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
Joel Matip: Liverpool defender was one of Jurgen Klopp's 'best pieces of business',bbc-news,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
El Paso Shooting Suspect Indicted on Capital Murder Charge,the-new-york-times,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,273.0
Tropical storm Humberto gets closer to the area devastated by a hurricane in northwestern Bahamas,cnn,2019-09-14T00:00:00Z,2019-09-14T00:00:00Z,0.0
Activists block main entrance to Frankfurt auto show,abc-news,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,273.0
Vladimir Putin criticises Greta Thunberg's UN speech on climate change,bbc-news,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,0.0
Analysis: Democrats look like the gang who can't shoot straight on 'impeachment',cnn,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,172.0
Imran Khan: What will Modi do when Kashmir curfew is lifted?,al-jazeera-english,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,113.0
Airbnb says it will go public in 2020,abc-news,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,273.0
Hurricane Dorian: Scams and Fraud to Be Aware of  from Price-Gouging to Fake Charities,newsweek,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,274.0
Catholic school removes Harry Potter books over 'evil spirits',abc-news,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,274.0
Rugby World Cup 2019: From Tokyo to Otsu  Wales' change of pace for Fiji,bbc-news,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,274.0
Zimbabweans mourn Mugabe but are confused about burial,the-irish-times,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
Native Americans go solar with goal of energy independence,the-irish-times,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,274.0
Rory McIlroy starts quick but hits the brakes at Dunhill Links,the-irish-times,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
Amazon Renewed sells refurbished  pre-owned  and open-box products that look and work like new — here are 13 standout deals for college students,business-insider,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,274.0
National Geographic's hit 'Overheard' podcast is coming back for a season 2 in October and will explore stories like how beavers impact climate change,business-insider,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,274.0
Hurricane Dorian spins damaging tornadoes into the North Carolina coast,cbs-news,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,0.0
WSL: Reading Women 0-2 Man City Women highlights,bbc-news,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,0.0
Kamala Harris plots Iowa blitz as campaign stalls,cnn,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
How to post on LinkedIn to share job news  articles  and more with your network  and edit or delete your posts,business-insider,2019-09-05T0 no-deal law,the-irish-times,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
36 Hours in Boone  N.C. (and Environs),the-new-york-times,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,274.0
NBA champion calls NCAA a dictatorship,cnn,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,89.0
Women's Hall of Fame to induct Justice Sotomayor  Jane Fonda,abc-news,2019-09-14T00:00:00Z,2019-09-14T00:00:00Z,274.0
Post Malone debuts new 'Saint-Tropez' video,cnn,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,0.0
The Latest: Jury convicts ex-athlete of rape,abc-news,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
Raiders cut Antonio Brown after he asked for 'release' in Instagram post amid reports that team voided $30 million in guaranteed money,business-insider,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
South Africa: Madagascar joins Zambia in football boycott,cnn,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,0.0
Survey: US manufacturing activity sank to decade-low,abc-news,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,273.0
Paris: Four killed by colleague in knife attack at police headquarters,the-irish-times,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,274.0
UPDATE 1-U.S. factory sector contracts to weakest level since June 2009,reuters,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,273.0
Abortion ruling welcomed by SF  Alliance Party and Greens,the-irish-times,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,273.0
Lyft's response after alleged rape:  This never happened   woman claims,cbs-news,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
Boeing Engineer  in Official Complaint  Cites Focus on Profit Over Safety on 737 Max,the-new-york-times,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,274.0
'Here and now': India's auto industry urges government action to fight slowdown,reuters,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Ex-prison shows animated films made by incarcerated artists,abc-news,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,273.0
Portuguese drama 'A Herdade' chronicles one landowner's tale amid change,reuters,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
White couple give birth to Asian daughter after alleged sperm mix-up,cbs-news,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,274.0
Chiefs sign HIll to 3-year  $54 million extension,espn,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,274.0
FedEx pilot detained by police in South China: WSJ,reuters,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,273.0
Nicaragua Opposition Leader Claims His Country's Government Is Abducting and Murdering Those Who Stand In Its Way,newsweek,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
Feds recommend 1 month jail sentence for Felicity Huffman,cbs-news,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
Dutch-far-right Leader Geert Wilders Tweets  Then Deletes Photo with Senator Lindsey Graham,newsweek,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,274.0
The top 9 shows on Netflix and other streaming services this week,business-insider,2019-09-14T00:00:00Z,2019-09-14T00:00:00Z,273.0
The economic cost of adapting for a warming planet,al-jazeera-english,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,0.0
2019 World Athletics Championship: Lord Coe won't 'gag' protesting athletes,bbc-news,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
Ken Griffin's Citadel cuts energy team after personal trading violations - Business Insider,business-insider,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
Judge blocks ND law on reversing medication abortions,abc-news,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,273.0
Titanic shipyard was on the verge of bankruptcy. It's been thrown a lifeline,cnn,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,0.0
A Historic Peace Plan Collapses,the-new-york-times,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,273.0
The billionaire CEO of Uniqlo — and the richest person in Japan — says a woman would be the best person to take over his job,business-insider,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Canadian climate concern could carry Greens to breakthrough election,reuters,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,274.0
Roku is giving Sonos a run for its money with its new family of TV speakers — and it’s a brilliant business move (ROKU  SONO),business-insider,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
Filipino coastguards convicted of killing Taiwanese fisherman,al-jazeera-english,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
‘Giovanni’s Room’ Revisited,the-new-york-times,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Michael Bennet guarantees he will stay in the race through New Hampshire primary,cbs-news,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
Abused by Soldiers and Militants  Kashmiris Face Dangers in Daily Life,the-new-york-times,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,274.0
Trump promised to revive US manufacturing. But the sector just plunged deeper into a recession.,business-insider,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,274.0
A military base is losing its funding for a new middle school so money can be shifted to Trump's border wall,business-insider,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
A Syracuse University student teaches an 'unofficial pop-up class' on becoming a YouTube and Instagram influencer. Here's the slide deck she uses.,business-insider,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,273.0
New research sheds light on the day the dinosaurs died,cbs-news,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
The Joker film controversy is exhausting. It does not make a hero of its lead character,the-irish-times,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,274.0
Taking too many naps linked to heart attacks  study says,abc-news,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,274.0
'Porn Addict' Tries to Bite Phone in Half to Stop Police Seeing Child Sex Abuse Images He Downloaded Using His Grandmother's Internet,newsweek,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,275.0
United is offering discounts on flights for 18-22-year-olds who book tickets through the airline's app — here's what you need to know (UAL),business-insider,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Pompeo meets Pope Francis as impeachment roils Washington,abc-news,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,273.0
FEMA official in charge of power restoration on Puerto Rico post Maria took bribes  DOJ says,cnn,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Australian Town Introduces Two-cat Policy  Following Country's Plan to Cull Millions of Feral Felines by 2020,newsweek,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Walking on Eggshells in Medical Schools,the-new-york-times,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,274.0
New York to ban flavored e-cigarettes after illnesses  deaths,reuters,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,274.0
Syrian army’s ‘salami’ tactics push jihadis from key Idlib positions,the-irish-times,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Johnson: Parliamentarians trying to block Brexit,bbc-news,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,0.0
Predicting 2019 NFL stat leaders and more: Top passers  rushers  receivers,espn,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,274.0
GOOGLE Trade-Secrets Case Seen as Warning to Silicon Valley...,the-wall-street-journal,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,273.0
Bournemouth 3-1 Everton: Marco Silva says Toffees need to be more clinical & aggressive,bbc-news,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,272.0
Sarah Palin's husband Todd apparently files for divorce,cbs-news,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,273.0
Grisham on error: Hurts 'gifting' Nats NLDS berth,espn,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,274.0
Trump broke his oath of office in asking China to probe Biden: Schiff,reuters,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,273.0
Stanwell Tesco knifeman jailed over terror attack,bbc-news,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Jeff Hendrick responds to claims he’s not delivered for Ireland,the-irish-times,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,274.0
Letter from Tokyo: The Welsh and Aussies share dreams in song,the-irish-times,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,273.0
Italy's Fiat Chrysler plant hit by strike after worker dies,abc-news,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,273.0
9/5: CBSN AM,cbs-news,20190:00:00Z,2019-09-05T00:00:00Z,274.0
Michigan Police Officer Is Terminated After K.K.K. Application Was Found in His Home,the-new-york-times,2019-09-14T00:00:00Z,2019-09-14T00:00:00Z,274.0
A goat can cost you: Coal India stops work as locals spar over animal death,reuters,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,273.0
College Football 2019: Where to Watch Cincinnati vs. Ohio State  TV Channel  Live Stream  Odds,newsweek,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,274.0
Swedish trade minister Linde shifting to foreign affairs: TV,reuters,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,273.0
I spent the last week with Nintendo's new  $200 version of its wildly popular Nintendo Switch — and I'm convinced it's going to be a killer gift option this holiday,business-insider,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,0.0
Irish inflation lifts to 0.7% as ECB opts for more stimulus measures,the-irish-times,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,274.0
Algerians tired of ruling cadre march as ex-premiers bid for presidency,reuters,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
NASA discovered a black spot on Jupiter 2 200 miles long,cnn,2019-10-02T00:00:00Z,2019-10-02T00:00:00Z,0.0
Jacob Wohl Is Charged With a Felony in California,the-new-york-times,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,273.0
Wells Fargo bumped their new CEO's salary 40% — to $23 million — to convince him to join (WFC),business-insider,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
McHugh says use of reduced timetables for vulnerable pupils is ‘unacceptable’,the-irish-times,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
This $8 million Lamborghini seized from an African dictator's son just became the most expensive ever sold,business-insider,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,273.0
Two women reunited with husbands after Hurricane Dorian:  They thought we were dead ,cbs-news,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,0.0
Camp Fire That Burned More Than 150 000 Acres Causes Drop in California College's Enrollment,newsweek,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,274.0
Hurricane Hunters Release Spectacular Footage of Flight Into Dorian's 40-Mile-Wide Eye,newsweek,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,274.0
